MS Zoning,Year Built,Overall Qual,Overall Cond,Lot Area,Garage Area,Pool Area,Bedroom AbvGr,Full Bath,TotRms AbvGrd,SalePrice
RL,1941.0,7.0,9,9042,252.0,0,4,,9,266500
RL,1959.0,7.0,8,17500,567.0,0,3,2.0,7,335000
RL,1994.0,,6,19645,473.0,0,3,2.0,6,203135
RM,1989.0,8.0,6,3907,598.0,0,1,1.0,4,185000
RM,1989.0,8.0,5,3907,531.0,0,2,2.0,5,162500
RL,1959.0,7.0,8,15602,484.0,0,1,2.0,6,289000
RM,1922.0,4.0,8,5436,240.0,0,3,1.0,7,125500
RM,,,5,8154,200.0,0,1,1.0,4,82000
RM,,6.0,5,9140,625.0,0,2,1.0,5,110000
C (all),1920.0,,4,7500,528.0,0,2,1.0,6,68400
C (all),1900.0,4.0,7,8712,384.0,0,2,1.0,7,102776
C (all),,5.0,5,8712,504.0,0,2,1.0,4,55993
C (all),1896.0,4.0,7,8712,330.0,0,3,,5,50138
RM,2004.0,8.0,5,3811,525.0,0,2,2.0,5,246000
RL,1998.0,8.0,5,11050,741.0,0,3,2.0,8,254900
RL,1977.0,6.0,7,9620,473.0,0,3,2.0,6,190000
RL,2003.0,7.0,5,9196,573.0,0,3,,7,201000
RL,,6.0,5,12328,888.0,0,3,1.0,6,169900
RL,1976.0,6.0,5,12760,776.0,0,5,3.0,9,170000
RL,1948.0,5.0,5,57200,572.0,0,3,1.0,7,160000
RL,2008.0,7.0,5,11896,660.0,0,3,,6,220000
RL,2009.0,7.0,5,9803,520.0,0,2,2.0,6,179781
RL,2006.0,5.0,5,9802,400.0,0,3,2.0,7,174000
RL,2009.0,8.0,5,12003,680.0,0,4,2.0,8,269500
RL,2002.0,7.0,5,11316,510.0,0,4,,8,214900
RL,2002.0,8.0,5,14191,431.0,0,4,2.0,9,202900
RL,2008.0,9.0,5,13214,746.0,0,3,2.0,10,378500
RL,1965.0,5.0,5,15300,528.0,0,2,1.0,7,169000
RL,2004.0,5.0,5,10114,624.0,0,3,2.0,7,173500
RL,1971.0,6.0,5,9400,0.0,0,4,2.0,8,139000
RL,1999.0,5.0,5,11875,686.0,0,3,2.0,7,166500
RM,,4.0,5,1974,286.0,0,3,1.0,6,83500
RM,1973.0,5.0,6,2394,253.0,0,2,,5,119500
RM,1976.0,,3,2592,336.0,0,3,1.0,4,85000
RM,1970.0,4.0,7,1476,0.0,0,3,1.0,5,76000
RM,1972.0,4.0,6,1491,0.0,0,1,,3,75500
RM,1970.0,,4,1900,0.0,0,3,1.0,5,88250
RM,1972.0,4.0,6,1890,286.0,0,3,1.0,5,85500
RL,1971.0,5.0,7,6953,352.0,0,3,1.0,5,130000
RL,1962.0,5.0,7,26142,312.0,0,3,1.0,6,157900
RL,1984.0,5.0,7,12887,495.0,0,2,,5,149900
RL,1985.0,5.0,2,7700,616.0,0,4,4.0,10,159000
RL,1991.0,,5,10475,576.0,0,3,1.0,6,136000
RL,1969.0,,5,10544,275.0,0,5,2.0,8,161000
RL,,8.0,5,9892,482.0,0,3,2.0,6,285000
RL,,6.0,5,12961,616.0,0,3,,7,231000
RL,1956.0,6.0,5,13008,502.0,0,2,,5,124500
RL,1974.0,6.0,5,10200,528.0,0,4,,7,157000
RL,1972.0,8.0,7,13860,538.0,0,4,,9,345000
RL,1997.0,6.0,5,10179,470.0,0,3,,7,189500
RL,,8.0,5,11792,632.0,0,4,,9,270000
RL,1996.0,,5,8400,390.0,0,3,2.0,7,189000
RL,2006.0,,5,14892,758.0,0,3,,7,377500
RL,,7.0,5,8530,400.0,0,3,2.0,7,168500
RL,2004.0,8.0,5,7296,564.0,0,1,2.0,8,375000
RL,2000.0,8.0,5,5664,499.0,0,2,2.0,5,278000
RL,1998.0,8.0,5,7380,495.0,0,2,2.0,5,240000
RL,1995.0,8.0,5,8013,528.0,0,2,2.0,6,239500
RL,1998.0,7.0,5,8923,396.0,0,3,2.0,7,177500
RL,1998.0,7.0,5,10141,427.0,0,3,,7,185000
RL,1998.0,6.0,5,7500,440.0,0,3,2.0,7,191000
RL,1993.0,6.0,7,7837,380.0,0,3,2.0,7,178000
RL,1993.0,6.0,8,9765,420.0,0,3,,6,185000
RL,1994.0,6.0,5,8803,409.0,0,3,2.0,7,181316
RL,,6.0,5,7250,430.0,0,3,2.0,6,166000
RL,1992.0,6.0,5,9636,389.0,0,3,2.0,7,178000
RL,,6.0,5,8125,343.0,0,3,2.0,6,174000
RL,,6.0,6,9248,400.0,0,3,2.0,6,173000
RL,,7.0,5,10762,490.0,0,3,2.0,9,225000
RL,1990.0,7.0,5,11851,500.0,0,3,2.0,5,180500
RL,1984.0,,5,5814,565.0,0,1,1.0,4,187500
RL,2008.0,9.0,5,17423,1166.0,0,1,2.0,9,501837
RL,2008.0,8.0,5,11844,834.0,0,3,2.0,7,372500
RL,2005.0,7.0,5,16158,430.0,0,3,,7,260000
RL,1977.0,5.0,6,11900,567.0,0,3,,6,185000
RL,1980.0,7.0,7,13005,484.0,0,4,2.0,10,260000
RL,1979.0,6.0,5,17043,435.0,0,3,2.0,7,181000
RL,1977.0,7.0,5,11900,544.0,0,3,,6,82500
RL,1977.0,6.0,7,16635,529.0,0,3,,8,215000
RL,1978.0,7.0,6,13250,529.0,0,4,2.0,8,154000
RL,,6.0,6,10928,484.0,0,3,2.0,7,200000
RL,1980.0,7.0,7,12388,441.0,0,4,2.0,9,249000
RL,1980.0,7.0,5,14115,588.0,0,3,,6,187500
RL,1978.0,6.0,5,11088,479.0,0,3,2.0,7,184000
RL,1981.0,8.0,5,9600,542.0,0,4,2.0,9,278000
RL,1978.0,7.0,5,11880,478.0,0,3,2.0,7,157000
RL,1976.0,7.0,5,10400,479.0,0,3,2.0,6,152000
RL,1976.0,,7,10304,484.0,0,4,2.0,9,197500
FV,2003.0,7.0,5,7000,581.0,0,3,2.0,7,240900
FV,2009.0,8.0,5,8004,552.0,0,3,2.0,8,263435
FV,2000.0,8.0,5,7500,588.0,0,3,2.0,7,220000
FV,2002.0,8.0,5,8470,565.0,0,3,,7,235000
RL,1975.0,5.0,7,9373,478.0,0,3,2.0,7,213000
RL,1974.0,6.0,6,10140,528.0,0,3,,6,167900
RL,1975.0,7.0,5,11050,506.0,0,3,,5,158000
RL,1974.0,6.0,5,10140,478.0,0,3,2.0,7,165000
RL,1972.0,6.0,6,10448,583.0,0,3,,7,158000
RL,1974.0,5.0,5,9000,0.0,0,4,2.0,8,136000
RL,1970.0,5.0,6,8750,902.0,0,3,1.0,5,148500
RL,1969.0,6.0,8,7930,440.0,0,3,1.0,5,156000
RL,1970.0,5.0,5,7830,477.0,0,2,1.0,6,128000
RL,,5.0,7,8510,336.0,0,3,1.0,6,143000
RL,1970.0,4.0,6,7038,576.0,0,3,1.0,5,76500
RL,1970.0,4.0,6,6960,660.0,0,3,1.0,5,120500
RL,1970.0,4.0,7,8120,463.0,0,3,1.0,5,124500
RL,1971.0,4.0,6,10500,576.0,0,2,1.0,4,97000
RL,1971.0,4.0,7,9000,576.0,0,3,1.0,5,130000
RM,1973.0,6.0,5,1680,264.0,0,2,1.0,5,111000
RM,1970.0,,6,2368,440.0,0,3,1.0,7,125000
RM,1971.0,5.0,5,1680,280.0,0,3,2.0,6,112000
RM,1972.0,6.0,6,1680,288.0,0,2,1.0,5,97000
RM,1972.0,6.0,8,1680,264.0,0,2,1.0,5,118000
RM,1972.0,5.0,7,1680,264.0,0,3,2.0,6,119500
RL,1976.0,6.0,6,4928,440.0,0,2,2.0,5,143750
RL,1976.0,6.0,5,2308,440.0,0,3,2.0,7,146000
RL,1976.0,6.0,6,2280,440.0,0,3,2.0,7,148500
RL,1975.0,7.0,5,2280,440.0,0,2,2.0,4,123000
RL,1974.0,6.0,5,2308,440.0,0,3,2.0,6,147000
RL,1977.0,,5,2349,440.0,0,3,2.0,6,137900
RL,1978.0,6.0,5,2364,440.0,0,3,2.0,7,147000
RL,1978.0,6.0,6,2289,440.0,0,3,,7,148500
RL,1978.0,6.0,5,2364,440.0,0,3,2.0,6,138000
RL,1976.0,7.0,6,2104,345.0,0,2,1.0,5,128500
RL,1967.0,5.0,5,7150,288.0,0,3,1.0,5,100000
RL,1966.0,5.0,7,10710,656.0,0,3,,5,148800
RL,2006.0,10.0,5,12456,786.0,0,3,2.0,7,337500
RL,,9.0,5,14257,754.0,0,4,3.0,10,462000
RL,2008.0,9.0,5,13518,820.0,0,4,3.0,11,485000
RL,2008.0,10.0,5,15431,672.0,0,2,2.0,10,555000
RL,2006.0,9.0,5,13173,840.0,0,2,2.0,6,325000
RL,2007.0,8.0,5,14230,890.0,0,3,2.0,7,256300
