Order,MS Zoning,Year Built,Overall Qual,Overall Cond,Lot Area,Garage Area,Pool Area,Bedroom AbvGr,Full Bath,TotRms AbvGrd,SalePrice
71,FV,2004.0,7.0,5,12552,678.0,0,3,2.0,8,254900
72,FV,2005.0,6.0,5,10440,528.0,0,2,2.0,6,271500
73,RL,2004.0,7.0,5,10142,618.0,0,4,2.0,8,233000
74,RL,2004.0,,5,11920,484.0,0,3,2.0,8,181000
75,RL,1994.0,7.0,5,8880,463.0,0,3,2.0,8,205000
76,RL,1980.0,6.0,5,8012,264.0,0,2,2.0,5,143000
77,RL,1992.0,6.0,5,11218,462.0,0,3,2.0,8,189000
78,RL,1979.0,6.0,5,7892,264.0,0,2,,5,99500
79,RL,1984.0,6.0,5,7175,264.0,0,2,1.0,4,125000
80,RL,1993.0,7.0,7,9453,457.0,0,3,2.0,7,194500
81,RL,,6.0,5,9672,480.0,0,3,2.0,6,152000
82,RL,1980.0,6.0,6,8400,476.0,0,3,2.0,7,171000
83,RH,1920.0,5.0,5,9800,429.0,0,2,1.0,5,67500
84,RM,1978.0,6.0,5,8930,539.0,0,4,2.0,8,112000
85,RL,1961.0,5.0,7,11782,576.0,0,3,1.0,6,148000
86,RL,1965.0,5.0,8,8450,336.0,0,3,1.0,5,138500
87,RL,1967.0,5.0,5,9819,280.0,0,3,1.0,5,122000
88,RL,1963.0,5.0,5,7500,308.0,0,3,1.0,5,133000
89,RL,1962.0,5.0,8,6897,260.0,0,3,1.0,6,127000
90,RL,1974.0,6.0,6,15410,461.0,0,3,2.0,7,169000
91,RL,1992.0,7.0,5,10186,564.0,0,3,2.0,8,190000
92,RL,1993.0,8.0,5,13143,762.0,0,4,2.0,9,362500
93,RL,1992.0,8.0,5,11134,713.0,0,4,2.0,7,285000
94,FV,2004.0,7.0,5,4835,506.0,0,2,2.0,6,260000
95,FV,2004.0,7.0,5,3515,588.0,0,2,2.0,3,190000
96,FV,2004.0,7.0,5,3215,480.0,0,2,2.0,4,155000
97,FV,2004.0,,5,3182,480.0,0,2,2.0,4,151000
98,FV,2004.0,7.0,5,2544,480.0,0,2,2.0,4,149500
99,FV,2005.0,6.0,5,2544,480.0,0,2,2.0,4,152000
100,FV,2009.0,7.0,5,4403,484.0,0,2,2.0,7,222000
101,FV,2000.0,6.0,5,2117,440.0,0,3,2.0,5,177500
102,FV,2000.0,6.0,5,2980,440.0,0,2,2.0,5,177000
103,FV,1999.0,7.0,5,2572,484.0,0,3,2.0,6,155000
104,FV,2003.0,7.0,5,2403,496.0,0,2,2.0,4,147110
105,FV,2010.0,8.0,5,12853,852.0,0,1,1.0,6,267916
106,FV,2000.0,8.0,5,7379,592.0,0,3,2.0,7,254000
107,RL,1980.0,8.0,5,4420,484.0,0,1,1.0,3,155000
108,RL,1978.0,8.0,6,3880,484.0,0,1,1.0,4,206000
109,RL,1976.0,6.0,8,13517,475.0,0,3,2.0,6,130500
110,FV,2002.0,7.0,5,8000,596.0,0,3,2.0,6,230000
111,RL,1967.0,6.0,6,10456,535.0,0,4,,8,218500
112,RL,1993.0,6.0,5,10791,660.0,0,4,2.0,9,243500
113,RL,1977.0,6.0,7,10603,480.0,0,3,2.0,6,205000
114,RL,1978.0,6.0,5,18837,678.0,0,3,,7,212500
115,RL,1988.0,7.0,5,10421,496.0,0,3,2.0,7,196500
116,RL,1972.0,6.0,7,9360,676.0,0,3,1.0,5,197500
117,RL,1971.0,6.0,6,9600,441.0,0,4,1.0,7,171000
118,RL,1966.0,5.0,5,9600,490.0,0,3,1.0,6,142250
119,RL,1963.0,,5,9790,528.0,0,3,,6,143000
120,RL,1959.0,4.0,5,9320,0.0,0,3,1.0,6,128950
121,RL,1966.0,5.0,5,9900,504.0,0,3,1.0,6,159000
122,RL,1967.0,5.0,6,9680,517.0,0,3,2.0,6,178900
123,RL,1964.0,6.0,5,10600,480.0,0,3,2.0,8,136300
124,RL,1964.0,,7,14112,484.0,0,3,1.0,6,180500
125,RL,1963.0,6.0,7,8800,480.0,0,3,1.0,6,137500
126,RL,1962.0,5.0,6,13260,0.0,0,6,,10,84900
127,RL,1950.0,5.0,6,9717,240.0,0,2,1.0,5,142125
128,RL,1952.0,5.0,7,9724,400.0,0,3,2.0,7,197600
129,RL,1949.0,6.0,6,17360,470.0,0,3,2.0,6,172500
130,RL,1958.0,5.0,7,7207,0.0,0,2,1.0,4,116500
131,RL,1940.0,3.0,2,5350,0.0,0,3,1.0,6,76500
132,RL,1954.0,5.0,5,9920,280.0,0,3,1.0,6,128000
133,RL,1955.0,6.0,6,9600,364.0,0,3,1.0,7,153000
134,RL,1954.0,,6,7800,244.0,0,2,1.0,7,132000
135,RL,1966.0,6.0,8,11380,315.0,0,2,1.0,5,178000
136,RL,1960.0,5.0,5,11600,480.0,0,5,2.0,12,154300
137,RL,1970.0,7.0,5,19900,576.0,0,3,2.0,7,180000
138,RL,1966.0,6.0,6,16492,578.0,0,2,,6,190000
139,RL,1958.0,5.0,5,8267,576.0,0,4,2.0,8,135000
140,RL,2003.0,7.0,5,8197,620.0,0,3,2.0,7,214000
141,RL,1959.0,5.0,5,8050,308.0,0,3,1.0,6,136000
142,RL,1959.0,5.0,5,10552,447.0,0,4,1.0,6,165500
143,RL,1957.0,5.0,6,8400,294.0,0,3,1.0,5,145000
144,RL,1959.0,6.0,6,8760,312.0,0,3,1.0,6,148000
145,RL,1959.0,,5,12160,531.0,0,3,,6,142000
146,RL,1960.0,5.0,5,9300,461.0,0,3,1.0,6,167500
147,RL,1959.0,5.0,5,10725,312.0,0,3,1.0,6,108538
148,RL,1959.0,6.0,5,10032,440.0,0,3,1.0,6,159500
149,RL,1956.0,,5,8382,263.0,0,3,1.0,5,108000
150,RL,1952.0,,7,10950,318.0,0,2,,4,135000
151,RL,1955.0,5.0,6,10895,305.0,0,3,1.0,5,122500
152,RL,,5.0,5,13587,264.0,0,2,1.0,5,119000
153,RL,1953.0,5.0,7,7922,246.0,0,3,1.0,5,109000
154,RL,1920.0,4.0,7,7898,676.0,0,2,1.0,4,105000
155,RL,1955.0,,7,7200,392.0,0,2,1.0,5,107500
156,RL,1954.0,5.0,7,10200,490.0,0,3,1.0,6,144900
157,RL,,5.0,7,5868,308.0,0,2,,4,129000
158,RL,1948.0,6.0,5,17503,330.0,0,3,1.0,6,97500
159,RL,1980.0,6.0,5,6979,576.0,0,0,0.0,4,144000
160,RL,1959.0,5.0,7,9830,576.0,0,3,1.0,7,162000
161,RL,1967.0,7.0,7,11275,564.0,0,5,2.0,11,242000
162,RL,1948.0,6.0,8,8064,280.0,0,3,1.0,5,132000
163,RL,1959.0,5.0,7,7500,305.0,0,3,1.0,6,154000
164,RL,1952.0,,4,8520,720.0,0,4,2.0,6,166000
165,RL,1951.0,,7,7200,576.0,0,3,1.0,5,134800
166,RL,1962.0,6.0,6,10000,440.0,0,3,1.0,5,160000
167,RL,1960.0,5.0,6,7635,484.0,0,3,1.0,6,148000
168,RL,1963.0,6.0,7,9760,440.0,0,2,1.0,7,192000
169,RL,1966.0,,5,7700,442.0,0,4,1.0,7,155000
170,RM,1900.0,4.0,5,4800,240.0,0,3,1.0,9,80400
171,RM,1910.0,4.0,7,8800,0.0,0,3,1.0,7,96500
172,RM,1920.0,5.0,7,4485,0.0,0,2,1.0,5,109500
173,RM,1927.0,5.0,6,8960,360.0,0,2,1.0,5,115000
174,RM,1957.0,5.0,7,5805,551.0,0,3,1.0,6,143000
175,RM,1915.0,,6,5790,379.0,0,3,2.0,8,107400
176,RM,1945.0,4.0,6,4608,220.0,0,2,1.0,4,80000
177,RM,1940.0,5.0,7,7200,240.0,0,2,1.0,4,119000
178,RM,1929.0,5.0,7,5500,484.0,0,3,1.0,6,130000
179,RM,1938.0,,7,6900,240.0,0,3,1.0,6,119000
180,RM,1948.0,5.0,7,11851,240.0,0,3,,7,129000
181,RM,1920.0,5.0,6,8239,315.0,0,3,1.0,6,100000
182,RM,1923.0,,2,9656,780.0,0,2,1.0,5,12789
183,RM,1928.0,6.0,8,8520,484.0,0,2,1.0,5,105900
184,RM,1900.0,8.0,9,9600,288.0,0,3,2.0,7,150000
185,RM,1915.0,5.0,6,10800,416.0,0,4,2.0,7,139000
186,RM,1890.0,8.0,9,9000,624.0,0,3,3.0,7,240000
187,RM,1910.0,5.0,3,9045,0.0,0,4,2.0,12,76500
188,RM,1957.0,6.0,7,7407,923.0,0,2,1.0,6,149700
189,RM,1910.0,,7,7740,528.0,0,3,1.0,6,125500
190,RM,1885.0,4.0,6,11340,560.0,0,4,2.0,11,122500
191,RM,1922.0,6.0,7,10560,624.0,0,2,1.0,6,140750
192,RM,1950.0,5.0,6,5830,363.0,0,3,1.0,7,128500
193,RL,1922.0,7.0,7,7793,315.0,0,3,1.0,8,209500
194,RM,1925.0,4.0,7,5000,200.0,0,2,1.0,4,87000
195,RM,1939.0,6.0,7,6000,240.0,0,2,1.0,5,134000
196,RM,1940.0,6.0,6,6000,576.0,0,3,1.0,6,128000
197,RM,1942.0,5.0,6,6360,240.0,0,3,1.0,7,132000
198,RM,1948.0,6.0,7,6000,312.0,0,3,1.0,6,139900
199,RM,1936.0,5.0,7,6240,624.0,0,2,1.0,5,123900
200,RM,1930.0,5.0,5,6240,480.0,0,4,2.0,7,138400
201,RM,1923.0,6.0,5,6120,288.0,0,2,1.0,5,109500
202,RM,1921.0,7.0,6,10300,480.0,0,3,2.0,9,140000
203,RM,1915.0,4.0,5,8094,572.0,0,4,1.0,9,149500
204,RM,,6.0,8,12900,0.0,0,3,1.0,7,159900
205,RM,1920.0,6.0,8,3068,180.0,0,3,1.0,6,122000
206,RM,1963.0,5.0,5,8472,516.0,0,2,,5,110000
207,RM,1930.0,4.0,5,5600,0.0,0,3,2.0,7,55000
208,RM,1900.0,5.0,9,7630,672.0,0,4,,8,140000
209,RL,1940.0,7.0,7,24090,349.0,0,4,2.0,10,244400
210,RL,1959.0,,5,15263,365.0,0,3,2.0,8,173000
211,RL,1917.0,5.0,3,10632,180.0,0,3,1.0,6,107500
212,RL,1915.0,5.0,4,9900,0.0,0,3,1.0,6,100000
213,RL,1940.0,6.0,5,6001,231.0,0,3,1.0,5,95000
214,C (all),1907.0,4.0,1,6449,0.0,0,4,,7,93369
215,RH,1910.0,5.0,7,6048,450.0,0,2,2.0,7,114900
216,RL,1875.0,5.0,8,6342,0.0,0,2,1.0,6,94000
217,RL,1967.0,4.0,3,10773,0.0,0,4,2.0,8,136000
218,RL,1968.0,,5,10778,0.0,0,4,2.0,8,136500
219,RL,1965.0,5.0,4,11625,504.0,0,3,1.0,6,131500
220,RL,1957.0,5.0,6,11341,528.0,0,3,1.0,5,121500
221,RL,1967.0,5.0,5,8521,336.0,0,3,1.0,5,125000
222,RL,1968.0,5.0,8,8246,270.0,0,3,1.0,6,154000
223,RL,1966.0,5.0,7,7800,416.0,0,3,1.0,5,137900
224,RL,1969.0,6.0,7,9364,299.0,0,4,1.0,7,158000
225,RL,1968.0,5.0,5,7832,280.0,0,2,1.0,4,137250
226,RL,1978.0,5.0,5,7424,591.0,0,3,1.0,5,160250
227,RL,1968.0,5.0,5,11227,480.0,0,4,1.0,7,163000
228,RL,1978.0,6.0,5,11616,440.0,0,3,2.0,6,158900
229,RL,1996.0,,5,14000,533.0,0,3,2.0,7,328000
230,RL,1977.0,7.0,7,20062,690.0,0,1,1.0,4,270000
231,RL,1927.0,4.0,4,9259,440.0,0,2,1.0,4,85000
232,RL,1950.0,4.0,7,9600,436.0,0,2,2.0,4,128000
233,RL,1979.0,7.0,6,23595,586.0,0,0,0.0,4,260000
234,RL,1978.0,6.0,5,17082,522.0,0,4,2.0,8,230000
235,RL,1938.0,3.0,4,18600,480.0,0,4,2.0,8,124000
236,RL,1920.0,5.0,5,10625,366.0,0,2,1.0,5,83000
237,RL,1950.0,6.0,7,11479,467.0,0,3,1.0,6,144500
238,RL,,5.0,6,9571,596.0,0,3,1.0,6,129000
239,RL,1947.0,4.0,6,9350,209.0,0,3,1.0,8,127000
240,RL,1954.0,5.0,7,9525,366.0,0,3,1.0,5,128000
241,RL,,6.0,5,10420,460.0,0,3,2.0,6,186000
242,RL,2009.0,7.0,5,17485,572.0,0,1,1.0,5,308030
243,RL,1964.0,5.0,3,11200,504.0,0,3,2.0,5,114000
244,RL,1946.0,4.0,7,11100,308.0,0,2,1.0,6,84900
245,RL,1985.0,6.0,5,9206,476.0,0,3,2.0,7,178000
246,RL,1987.0,7.0,5,11980,528.0,0,1,1.0,4,270000
247,RL,1993.0,6.0,7,12361,1017.0,0,3,2.0,8,218000
248,RL,1993.0,7.0,5,9938,574.0,0,3,,8,236000
249,RL,1992.0,6.0,6,9069,564.0,0,2,1.0,5,147000
250,RL,2008.0,8.0,5,10475,776.0,0,3,2.0,7,245350
251,RL,2006.0,7.0,5,6762,632.0,0,2,,6,206000
252,RL,2009.0,7.0,5,10402,740.0,0,3,2.0,6,198900
253,RL,2010.0,7.0,5,7360,615.0,0,2,,6,187000
254,RL,1990.0,7.0,5,12376,594.0,0,5,3.0,11,320000
255,RL,1900.0,6.0,8,14235,484.0,0,3,2.0,6,138500
256,RL,1971.0,6.0,7,8816,440.0,0,3,1.0,6,155000
257,RL,1996.0,5.0,5,11105,580.0,0,2,1.0,4,159000
258,RL,1997.0,7.0,5,9337,513.0,0,3,2.0,8,191000
259,RL,1998.0,6.0,5,8750,523.0,0,3,,7,200500
260,RL,1977.0,5.0,8,15240,308.0,0,3,1.0,5,150000
261,RL,1977.0,6.0,7,10900,299.0,0,3,1.0,6,161750
262,RL,,5.0,6,10650,308.0,0,3,1.0,5,128200
263,RL,1972.0,5.0,6,7480,484.0,0,3,1.0,5,127000
264,RL,,8.0,5,10389,850.0,0,3,2.0,8,318000
265,RL,2001.0,8.0,5,11423,670.0,0,3,2.0,6,272000
266,RL,2003.0,7.0,6,9548,613.0,0,3,2.0,7,237000
267,RL,1997.0,7.0,5,9375,621.0,0,4,2.0,9,240000
268,RL,1998.0,7.0,5,12137,598.0,0,3,2.0,6,224900
269,RM,2003.0,6.0,5,4435,420.0,0,1,1.0,4,143750
270,RM,2004.0,6.0,5,4426,420.0,0,1,1.0,3,143000
271,RL,,8.0,5,10635,502.0,0,3,2.0,8,232000
272,RL,2004.0,7.0,5,8400,606.0,0,3,2.0,7,213000
273,RL,2004.0,7.0,5,8773,494.0,0,3,2.0,6,185500
274,RL,1945.0,3.0,6,8777,240.0,0,2,1.0,5,84900
275,RL,1954.0,5.0,6,8842,319.0,0,3,1.0,6,155891
276,RL,1965.0,5.0,5,9825,0.0,0,4,2.0,8,100000
277,RL,1968.0,5.0,6,10044,336.0,0,3,1.0,6,144000
278,RL,1948.0,,5,11792,480.0,0,2,1.0,5,64000
279,RL,1975.0,6.0,6,6305,352.0,0,3,1.0,5,125200
280,RL,1976.0,6.0,5,7819,672.0,0,3,,6,107000
281,RL,,4.0,5,6410,0.0,0,3,1.0,5,90000
282,RM,2003.0,4.0,5,8546,440.0,0,2,2.0,5,140000
283,RL,1945.0,6.0,4,8741,220.0,0,3,,7,113000
284,RL,1941.0,4.0,4,12180,280.0,0,2,1.0,5,80000
285,RL,,5.0,6,8562,364.0,0,4,1.0,7,144500
286,RL,1924.0,5.0,6,4853,260.0,0,2,2.0,5,104000
287,RL,1915.0,6.0,4,6858,216.0,0,4,1.0,6,128000
288,RL,1914.0,,3,8212,200.0,0,2,1.0,5,58500
289,RL,1924.0,5.0,6,5000,308.0,0,3,2.0,6,127000
290,RL,1939.0,6.0,6,7890,399.0,0,2,1.0,4,126000
291,RH,1967.0,4.0,6,7200,0.0,0,6,3.0,10,160000
292,RL,1931.0,5.0,2,9839,0.0,0,3,1.0,7,100000
293,RL,,6.0,7,9638,336.0,0,4,2.0,10,169000
294,RL,1941.0,7.0,6,10452,312.0,0,4,1.0,8,257500
295,RL,1950.0,5.0,6,15600,484.0,0,5,2.0,11,215000
296,RL,1941.0,,9,9042,252.0,0,4,,9,266500
297,RL,1959.0,7.0,8,17500,567.0,0,3,2.0,7,335000
298,RL,1994.0,,6,19645,473.0,0,3,2.0,6,203135
299,RM,1989.0,8.0,6,3907,598.0,0,1,1.0,4,185000
300,RM,1989.0,8.0,5,3907,531.0,0,2,2.0,5,162500
301,RL,1959.0,7.0,8,15602,484.0,0,1,2.0,6,289000
302,RM,1922.0,,8,5436,240.0,0,3,1.0,7,125500
303,RM,1941.0,2.0,5,8154,200.0,0,1,1.0,4,82000
304,RM,,6.0,5,9140,625.0,0,2,1.0,5,110000
305,C (all),1920.0,4.0,4,7500,528.0,0,2,1.0,6,68400
306,C (all),1900.0,4.0,7,8712,384.0,0,2,1.0,7,102776
307,C (all),1952.0,5.0,5,8712,504.0,0,2,1.0,4,55993
308,C (all),1896.0,4.0,7,8712,330.0,0,3,1.0,5,50138
309,RM,2004.0,8.0,5,3811,525.0,0,2,,5,246000
310,RL,1998.0,8.0,5,11050,741.0,0,3,2.0,8,254900
311,RL,1977.0,6.0,7,9620,473.0,0,3,2.0,6,190000
312,RL,2003.0,7.0,5,9196,573.0,0,3,,7,201000
313,RL,1976.0,6.0,5,12328,888.0,0,3,1.0,6,169900
314,RL,1976.0,6.0,5,12760,776.0,0,5,3.0,9,170000
315,RL,1948.0,5.0,5,57200,572.0,0,3,1.0,7,160000
316,RL,,,5,11896,660.0,0,3,2.0,6,220000
317,RL,2009.0,7.0,5,9803,520.0,0,2,2.0,6,179781
318,RL,2006.0,5.0,5,9802,400.0,0,3,2.0,7,174000
319,RL,2009.0,8.0,5,12003,680.0,0,4,2.0,8,269500
320,RL,2002.0,7.0,5,11316,510.0,0,4,2.0,8,214900
321,RL,2002.0,8.0,5,14191,431.0,0,4,2.0,9,202900
322,RL,2008.0,9.0,5,13214,746.0,0,3,2.0,10,378500
323,RL,1965.0,5.0,5,15300,528.0,0,2,1.0,7,169000
324,RL,2004.0,5.0,5,10114,624.0,0,3,2.0,7,173500
325,RL,1971.0,6.0,5,9400,0.0,0,4,2.0,8,139000
326,RL,1999.0,5.0,5,11875,686.0,0,3,2.0,7,166500
327,RM,1973.0,4.0,5,1974,286.0,0,3,1.0,6,83500
328,RM,1973.0,5.0,6,2394,253.0,0,2,1.0,5,119500
329,RM,1976.0,5.0,3,2592,336.0,0,3,1.0,4,85000
330,RM,1970.0,,7,1476,0.0,0,3,1.0,5,76000
331,RM,1972.0,4.0,6,1491,0.0,0,1,1.0,3,75500
332,RM,1970.0,4.0,4,1900,0.0,0,3,1.0,5,88250
333,RM,1972.0,4.0,6,1890,286.0,0,3,1.0,5,85500
334,RL,1971.0,,7,6953,352.0,0,3,1.0,5,130000
335,RL,1962.0,5.0,7,26142,312.0,0,3,1.0,6,157900
336,RL,1984.0,5.0,7,12887,495.0,0,2,1.0,5,149900
337,RL,1985.0,5.0,2,7700,616.0,0,4,4.0,10,159000
338,RL,1991.0,5.0,5,10475,576.0,0,3,,6,136000
339,RL,1969.0,5.0,5,10544,275.0,0,5,2.0,8,161000
340,RL,1994.0,8.0,5,9892,482.0,0,3,2.0,6,285000
341,RL,1993.0,,5,12961,616.0,0,3,2.0,7,231000
342,RL,1956.0,6.0,5,13008,502.0,0,2,1.0,5,124500
343,RL,1974.0,6.0,5,10200,528.0,0,4,2.0,7,157000
344,RL,1972.0,8.0,7,13860,538.0,0,4,2.0,9,345000
345,RL,1997.0,6.0,5,10179,470.0,0,3,2.0,7,189500
346,RL,2003.0,8.0,5,11792,632.0,0,4,2.0,9,270000
347,RL,,7.0,5,8400,390.0,0,3,2.0,7,189000
348,RL,2006.0,9.0,5,14892,758.0,0,3,2.0,7,377500
349,RL,1995.0,7.0,5,8530,400.0,0,3,2.0,7,168500
350,RL,2004.0,8.0,5,7296,564.0,0,1,2.0,8,375000
351,RL,2000.0,8.0,5,5664,499.0,0,2,2.0,5,278000
352,RL,1998.0,8.0,5,7380,495.0,0,2,2.0,5,240000
353,RL,1995.0,8.0,5,8013,528.0,0,2,2.0,6,239500
354,RL,1998.0,7.0,5,8923,396.0,0,3,2.0,7,177500
355,RL,1998.0,7.0,5,10141,427.0,0,3,2.0,7,185000
356,RL,1998.0,,5,7500,440.0,0,3,2.0,7,191000
357,RL,1993.0,6.0,7,7837,380.0,0,3,2.0,7,178000
358,RL,1993.0,6.0,8,9765,420.0,0,3,2.0,6,185000
359,RL,1994.0,6.0,5,8803,409.0,0,3,2.0,7,181316
360,RL,,6.0,5,7250,430.0,0,3,2.0,6,166000
361,RL,1992.0,,5,9636,389.0,0,3,2.0,7,178000
362,RL,1994.0,,5,8125,343.0,0,3,2.0,6,174000
363,RL,1992.0,6.0,6,9248,400.0,0,3,2.0,6,173000
364,RL,1999.0,7.0,5,10762,490.0,0,3,2.0,9,225000
365,RL,1990.0,7.0,5,11851,500.0,0,3,2.0,5,180500
366,RL,1984.0,8.0,5,5814,565.0,0,1,1.0,4,187500
367,RL,2008.0,9.0,5,17423,1166.0,0,1,2.0,9,501837
368,RL,2008.0,8.0,5,11844,834.0,0,3,2.0,7,372500
369,RL,2005.0,7.0,5,16158,430.0,0,3,2.0,7,260000
370,RL,1977.0,5.0,6,11900,567.0,0,3,2.0,6,185000
371,RL,1980.0,7.0,7,13005,484.0,0,4,2.0,10,260000
372,RL,1979.0,6.0,5,17043,435.0,0,3,2.0,7,181000
373,RL,1977.0,7.0,5,11900,544.0,0,3,2.0,6,82500
374,RL,1977.0,6.0,7,16635,529.0,0,3,2.0,8,215000
375,RL,,7.0,6,13250,529.0,0,4,2.0,8,154000
376,RL,1978.0,6.0,6,10928,484.0,0,3,2.0,7,200000
377,RL,1980.0,7.0,7,12388,441.0,0,4,2.0,9,249000
378,RL,1980.0,7.0,5,14115,588.0,0,3,2.0,6,187500
379,RL,1978.0,6.0,5,11088,479.0,0,3,2.0,7,184000
380,RL,1981.0,8.0,5,9600,542.0,0,4,2.0,9,278000
381,RL,1978.0,7.0,5,11880,478.0,0,3,2.0,7,157000
382,RL,1976.0,7.0,5,10400,479.0,0,3,2.0,6,152000
383,RL,1976.0,5.0,7,10304,484.0,0,4,,9,197500
384,FV,2003.0,7.0,5,7000,581.0,0,3,2.0,7,240900
385,FV,,8.0,5,8004,552.0,0,3,2.0,8,263435
386,FV,2000.0,8.0,5,7500,588.0,0,3,2.0,7,220000
387,FV,2002.0,8.0,5,8470,565.0,0,3,2.0,7,235000
388,RL,1975.0,5.0,7,9373,478.0,0,3,2.0,7,213000
389,RL,1974.0,6.0,6,10140,528.0,0,3,2.0,6,167900
390,RL,1975.0,7.0,5,11050,506.0,0,3,2.0,5,158000
391,RL,1974.0,6.0,5,10140,478.0,0,3,2.0,7,165000
392,RL,,6.0,6,10448,583.0,0,3,2.0,7,158000
